"Supplementary Table S11. Read-level specificity of the best model (Embed + LSTM + Attention) on fixed-length reads simulated based on error profiles of different sequencing platforms using 3,269 MAGs excluded from training",,,,,
MAG_ID_ENA,75bp (GenomeAnalyzer II),100bp (HiSeq 2000),125bp (HiSeq 2500),150bp (HiSeq 2500),250bp (MiSeq v3)
MAG-GUT31872,0.459,0.743,0.842,0.848,0.657
MAG-GUT31931,0.236,0.587,0.689,0.712,0.670
MAG-GUT32002,0.467,0.957,0.968,0.971,0.957
MAG-GUT32018,0.384,0.842,0.910,0.926,0.922
MAG-GUT32053,0.403,0.849,0.922,0.937,0.912
MAG-GUT32102,0.323,0.760,0.828,0.848,0.855
MAG-GUT32106,0.833,0.975,0.984,0.990,0.986
MAG-GUT32130,0.393,0.955,0.981,0.988,0.983
MAG-GUT3213,0.387,0.808,0.862,0.880,0.901
MAG-GUT32169,0.505,0.959,0.985,0.987,0.975
MAG-GUT32170,0.488,0.934,0.982,0.986,0.976
MAG-GUT32215,0.691,0.963,0.981,0.985,0.977
MAG-GUT32242,0.395,0.949,0.980,0.987,0.980
MAG-GUT32255,0.337,0.930,0.974,0.981,0.972
MAG-GUT3231,0.395,0.949,0.986,0.988,0.979
MAG-GUT32339,0.260,0.773,0.848,0.890,0.842
MAG-GUT3233,0.397,0.951,0.985,0.991,0.978
MAG-GUT32343,0.468,0.959,0.984,0.984,0.982
MAG-GUT32351,0.393,0.733,0.791,0.801,0.795
MAG-GUT32354,0.343,0.954,0.988,0.991,0.990
MAG-GUT32356,0.646,0.946,0.960,0.954,0.913
MAG-GUT32383,0.573,0.893,0.905,0.921,0.865
MAG-GUT32404,0.416,0.749,0.769,0.761,0.720
MAG-GUT32425,0.388,0.894,0.949,0.963,0.965
MAG-GUT32469,0.490,0.758,0.854,0.876,0.699
MAG-GUT32470,0.814,0.987,0.996,0.996,0.994
MAG-GUT32509,0.418,0.796,0.830,0.830,0.790
MAG-GUT32544,0.635,0.877,0.909,0.914,0.897
MAG-GUT32557,0.258,0.591,0.704,0.740,0.694
MAG-GUT32575,0.660,0.935,0.954,0.963,0.957
MAG-GUT32583,0.368,0.814,0.895,0.902,0.890
MAG-GUT32588,0.412,0.946,0.982,0.985,0.986
MAG-GUT32654,0.522,0.955,0.983,0.988,0.975
MAG-GUT32667,0.345,0.672,0.708,0.721,0.693
MAG-GUT32691,0.550,0.881,0.924,0.937,0.909
MAG-GUT32779,0.370,0.882,0.945,0.957,0.950
MAG-GUT32792,0.332,0.803,0.862,0.876,0.863
MAG-GUT32803,0.570,0.946,0.971,0.979,0.963
MAG-GUT32879,0.412,0.772,0.793,0.791,0.751
MAG-GUT32882,0.437,0.959,0.984,0.985,0.983
MAG-GUT32889,0.686,0.945,0.960,0.960,0.910
MAG-GUT32902,0.649,0.947,0.962,0.957,0.915
MAG-GUT32929,0.354,0.917,0.970,0.974,0.981
MAG-GUT32939,0.354,0.818,0.871,0.881,0.899
MAG-GUT32966,0.676,0.953,0.980,0.981,0.974
MAG-GUT32970,0.309,0.674,0.716,0.729,0.704
MAG-GUT3301,0.522,0.957,0.983,0.986,0.925
MAG-GUT33032,0.305,0.778,0.826,0.860,0.885
MAG-GUT33095,0.213,0.589,0.696,0.722,0.673
MAG-GUT3315,0.291,0.952,0.990,0.995,0.988
MAG-GUT3323,0.579,0.960,0.985,0.985,0.932
MAG-GUT33244,0.271,0.626,0.694,0.718,0.765
MAG-GUT33270,0.396,0.850,0.919,0.929,0.923
MAG-GUT33324,0.382,0.747,0.766,0.758,0.723
MAG-GUT33329,0.330,0.921,0.966,0.976,0.979
MAG-GUT33356,0.217,0.620,0.701,0.731,0.675
MAG-GUT33386,0.333,0.683,0.708,0.727,0.705
MAG-GUT33415,0.328,0.822,0.886,0.905,0.894
MAG-GUT33443,0.349,0.822,0.860,0.884,0.897
MAG-GUT33511,0.769,0.951,0.971,0.968,0.956
MAG-GUT33530,0.604,0.940,0.980,0.985,0.974
MAG-GUT33557,0.297,0.639,0.714,0.737,0.798
MAG-GUT33566,0.261,0.724,0.831,0.868,0.903
MAG-GUT33569,0.222,0.640,0.710,0.742,0.776
MAG-GUT335,0.541,0.913,0.947,0.956,0.948
MAG-GUT33604,0.769,0.981,0.996,0.996,0.996
MAG-GUT33640,0.660,0.957,0.980,0.987,0.975
MAG-GUT33657,0.414,0.853,0.937,0.957,0.977
MAG-GUT33658,0.279,0.740,0.820,0.844,0.822
MAG-GUT33659,0.342,0.807,0.856,0.884,0.896
MAG-GUT336,0.376,0.887,0.934,0.951,0.952
MAG-GUT3377,0.140,0.713,0.847,0.877,0.933
MAG-GUT33836,0.725,0.982,0.996,0.997,0.988
MAG-GUT33845,0.360,0.814,0.876,0.886,0.908
MAG-GUT33885,0.349,0.819,0.865,0.881,0.896
MAG-GUT33906,0.383,0.837,0.903,0.908,0.898
MAG-GUT33914,0.522,0.936,0.964,0.971,0.972
MAG-GUT33983,0.302,0.783,0.845,0.871,0.893
MAG-GUT34183,0.355,0.840,0.908,0.912,0.903
MAG-GUT34193,0.290,0.776,0.857,0.870,0.876
MAG-GUT34206,0.745,0.952,0.958,0.949,0.856
MAG-GUT34223,0.391,0.823,0.873,0.895,0.906
MAG-GUT34245,0.747,0.985,0.996,0.998,0.989
MAG-GUT34249,0.334,0.814,0.882,0.898,0.908
MAG-GUT3427,0.414,0.932,0.975,0.977,0.934
MAG-GUT3435,0.352,0.941,0.973,0.978,0.940
MAG-GUT34421,0.756,0.950,0.960,0.951,0.849
MAG-GUT34513,0.743,0.951,0.962,0.951,0.853
MAG-GUT34540,0.757,0.979,0.995,0.996,0.988
MAG-GUT34569,0.288,0.792,0.859,0.878,0.848
MAG-GUT34592,0.349,0.840,0.893,0.892,0.892
MAG-GUT34594,0.306,0.658,0.738,0.760,0.802
MAG-GUT34600,0.367,0.923,0.961,0.973,0.970
MAG-GUT34661,0.384,0.831,0.870,0.893,0.913
MAG-GUT34689,0.405,0.838,0.908,0.913,0.905
MAG-GUT34724,0.451,0.917,0.961,0.969,0.969
MAG-GUT3474,0.403,0.963,0.993,0.995,0.992
MAG-GUT34763,0.368,0.826,0.874,0.897,0.910
MAG-GUT34778,0.752,0.951,0.958,0.951,0.849
MAG-GUT3477,0.296,0.914,0.982,0.989,0.965
MAG-GUT3478,0.576,0.964,0.987,0.990,0.979
MAG-GUT3479,0.337,0.909,0.979,0.990,0.965
MAG-GUT34803,0.307,0.788,0.845,0.861,0.887
MAG-GUT3480,0.423,0.962,0.991,0.995,0.993
MAG-GUT34814,0.378,0.826,0.881,0.886,0.912
MAG-GUT34834,0.360,0.822,0.879,0.886,0.906
MAG-GUT3484,0.280,0.931,0.978,0.983,0.983
MAG-GUT34892,0.327,0.787,0.849,0.874,0.890
MAG-GUT34932,0.080,0.266,0.357,0.375,0.164
MAG-GUT34937,0.373,0.802,0.868,0.883,0.905
MAG-GUT3493,0.288,0.925,0.976,0.983,0.983
MAG-GUT34945,0.734,0.985,0.996,0.997,0.987
MAG-GUT34992,0.339,0.835,0.878,0.894,0.915
MAG-GUT3499,0.297,0.919,0.974,0.984,0.977
MAG-GUT35070,0.340,0.809,0.868,0.892,0.911
MAG-GUT35087,0.400,0.736,0.746,0.750,0.703
MAG-GUT3508,0.314,0.932,0.977,0.986,0.984
MAG-GUT35150,0.340,0.815,0.875,0.900,0.911
MAG-GUT35198,0.282,0.674,0.723,0.746,0.795
MAG-GUT35206,0.394,0.720,0.742,0.745,0.705
MAG-GUT35223,0.324,0.790,0.859,0.879,0.879
MAG-GUT35231,0.722,0.947,0.959,0.954,0.858
MAG-GUT35271,0.307,0.672,0.732,0.758,0.805
MAG-GUT35302,0.338,0.828,0.871,0.880,0.903
MAG-GUT3531,0.256,0.820,0.904,0.923,0.921
MAG-GUT35394,0.319,0.784,0.900,0.927,0.958
MAG-GUT35418,0.323,0.812,0.876,0.879,0.892
MAG-GUT35486,0.324,0.944,0.976,0.977,0.972
MAG-GUT3548,0.417,0.965,0.993,0.995,0.988
MAG-GUT3553,0.269,0.930,0.976,0.984,0.984
MAG-GUT35547,0.324,0.814,0.863,0.877,0.900
MAG-GUT35591,0.636,0.957,0.978,0.980,0.965
MAG-GUT35597,0.360,0.719,0.738,0.736,0.694
MAG-GUT3561,0.390,0.955,0.993,0.996,0.989
MAG-GUT35625,0.519,0.881,0.943,0.949,0.935
MAG-GUT35626,0.522,0.965,0.983,0.984,0.982
MAG-GUT35629,0.329,0.806,0.867,0.886,0.898
MAG-GUT35641,0.235,0.730,0.841,0.889,0.929
MAG-GUT35683,0.456,0.950,0.961,0.959,0.947
MAG-GUT35732,0.315,0.923,0.969,0.977,0.981
MAG-GUT35747,0.343,0.864,0.924,0.932,0.929
MAG-GUT35760,0.624,0.891,0.923,0.930,0.869
MAG-GUT35789,0.426,0.954,0.985,0.990,0.983
MAG-GUT35807,0.751,0.899,0.928,0.930,0.872
MAG-GUT35824,0.192,0.738,0.834,0.864,0.877
MAG-GUT35837,0.684,0.967,0.980,0.981,0.977
MAG-GUT35871,0.345,0.926,0.967,0.976,0.981
MAG-GUT35918,0.325,0.684,0.726,0.734,0.708
MAG-GUT35922,0.609,0.931,0.960,0.958,0.952
MAG-GUT35934,0.358,0.798,0.864,0.888,0.907
MAG-GUT35935,0.686,0.954,0.980,0.985,0.971
MAG-GUT35943,0.342,0.937,0.972,0.978,0.983
MAG-GUT35945,0.230,0.587,0.694,0.742,0.676
MAG-GUT35948,0.279,0.788,0.859,0.875,0.836
MAG-GUT35964,0.761,0.972,0.986,0.991,0.984
MAG-GUT36009,0.377,0.926,0.974,0.981,0.968
MAG-GUT36027,0.349,0.933,0.978,0.980,0.979
MAG-GUT36037,0.530,0.926,0.975,0.977,0.962
MAG-GUT36103,0.231,0.516,0.667,0.726,0.627
MAG-GUT36136,0.153,0.686,0.830,0.867,0.930
MAG-GUT36138,0.677,0.954,0.976,0.980,0.962
MAG-GUT36139,0.599,0.891,0.915,0.911,0.870
MAG-GUT36148,0.471,0.743,0.842,0.869,0.689
MAG-GUT36218,0.310,0.786,0.890,0.918,0.946
MAG-GUT36222,0.357,0.827,0.858,0.883,0.907
MAG-GUT3624,0.561,0.973,0.989,0.992,0.989
MAG-GUT36301,0.379,0.802,0.855,0.878,0.897
MAG-GUT3630,0.489,0.857,0.884,0.880,0.831
MAG-GUT3631,0.411,0.918,0.964,0.964,0.965
MAG-GUT36419,0.457,0.853,0.914,0.938,0.932
MAG-GUT36441,0.307,0.691,0.692,0.686,0.658
MAG-GUT3651,0.381,0.766,0.782,0.775,0.737
MAG-GUT36569,0.437,0.954,0.960,0.962,0.944
MAG-GUT36571,0.356,0.914,0.962,0.976,0.979
MAG-GUT36577,0.470,0.894,0.942,0.952,0.946
MAG-GUT36580,0.285,0.638,0.726,0.774,0.704
MAG-GUT36616,0.584,0.855,0.890,0.893,0.880
MAG-GUT36683,0.232,0.907,0.979,0.991,0.978
MAG-GUT36692,0.478,0.754,0.780,0.780,0.748
MAG-GUT36712,0.330,0.806,0.877,0.891,0.888
MAG-GUT36733,0.308,0.898,0.958,0.960,0.965
MAG-GUT3674,0.603,0.970,0.981,0.984,0.981
MAG-GUT36756,0.501,0.902,0.942,0.949,0.954
MAG-GUT36772,0.586,0.965,0.972,0.972,0.973
MAG-GUT36794,0.720,0.978,0.988,0.989,0.978
MAG-GUT36796,0.352,0.923,0.964,0.973,0.978
MAG-GUT36799,0.611,0.984,0.993,0.995,0.990
MAG-GUT36814,0.546,0.949,0.971,0.983,0.976
MAG-GUT36916,0.386,0.916,0.970,0.980,0.973
MAG-GUT36922,0.567,0.966,0.989,0.989,0.987
MAG-GUT36962,0.374,0.830,0.893,0.909,0.893
MAG-GUT36998,0.810,0.971,0.984,0.987,0.979
MAG-GUT37024,0.277,0.649,0.715,0.742,0.763
MAG-GUT3702,0.422,0.746,0.753,0.758,0.715
MAG-GUT37063,0.518,0.956,0.982,0.984,0.976
MAG-GUT37077,0.358,0.811,0.869,0.882,0.905
MAG-GUT37090,0.652,0.922,0.936,0.940,0.878
MAG-GUT3710,0.812,0.972,0.985,0.988,0.979
MAG-GUT37154,0.371,0.727,0.759,0.756,0.698
MAG-GUT37167,0.762,0.908,0.933,0.937,0.879
MAG-GUT37176,0.741,0.948,0.962,0.967,0.955
MAG-GUT37194,0.371,0.829,0.878,0.895,0.919
MAG-GUT37249,0.691,0.974,0.982,0.979,0.969
MAG-GUT37277,0.562,0.942,0.967,0.974,0.978
MAG-GUT37279,0.750,0.953,0.968,0.970,0.960
MAG-GUT37376,0.785,0.973,0.985,0.989,0.979
MAG-GUT37378,0.649,0.955,0.988,0.989,0.985
MAG-GUT37384,0.545,0.969,0.991,0.990,0.987
MAG-GUT37389,0.245,0.735,0.849,0.884,0.928
MAG-GUT37401,0.330,0.927,0.971,0.982,0.984
MAG-GUT37445,0.174,0.719,0.840,0.878,0.932
MAG-GUT3745,0.403,0.930,0.972,0.976,0.971
MAG-GUT3747,0.548,0.973,0.988,0.990,0.990
MAG-GUT374,0.484,0.961,0.988,0.993,0.992
MAG-GUT37542,0.326,0.821,0.887,0.902,0.887
MAG-GUT37553,0.552,0.930,0.962,0.971,0.957
MAG-GUT37559,0.577,0.935,0.975,0.981,0.967
MAG-GUT37563,0.345,0.675,0.725,0.722,0.715
MAG-GUT37626,0.338,0.807,0.863,0.874,0.899
MAG-GUT37689,0.817,0.974,0.986,0.989,0.984
MAG-GUT37747,0.288,0.816,0.878,0.891,0.907
MAG-GUT37758,0.628,0.943,0.966,0.976,0.972
MAG-GUT37818,0.693,0.971,0.986,0.988,0.980
MAG-GUT37858,0.342,0.800,0.896,0.933,0.989
MAG-GUT37870,0.655,0.961,0.980,0.983,0.970
MAG-GUT37878,0.626,0.964,0.985,0.986,0.976
MAG-GUT37917,0.481,0.931,0.974,0.974,0.974
MAG-GUT37934,0.424,0.740,0.764,0.748,0.729
MAG-GUT37939,0.345,0.930,0.972,0.980,0.979
MAG-GUT37942,0.743,0.983,0.987,0.989,0.978
MAG-GUT37950,0.370,0.821,0.896,0.912,0.896
MAG-GUT37961,0.144,0.880,0.973,0.990,0.982
MAG-GUT37976,0.544,0.886,0.911,0.919,0.915
MAG-GUT379,0.349,0.928,0.973,0.980,0.981
MAG-GUT38016,0.448,0.750,0.839,0.842,0.669
MAG-GUT38052,0.355,0.795,0.863,0.869,0.895
MAG-GUT38093,0.363,0.867,0.920,0.923,0.860
MAG-GUT38145,0.742,0.978,0.993,0.994,0.986
MAG-GUT38177,0.328,0.931,0.968,0.971,0.972
MAG-GUT38182,0.536,0.970,0.983,0.989,0.987
MAG-GUT38231,0.644,0.963,0.988,0.989,0.966
MAG-GUT38263,0.260,0.636,0.702,0.728,0.771
MAG-GUT38358,0.464,0.953,0.962,0.965,0.950
MAG-GUT38435,0.478,0.942,0.954,0.956,0.937
MAG-GUT38485,0.519,0.922,0.958,0.967,0.956
MAG-GUT3853,0.208,0.794,0.895,0.915,0.942
MAG-GUT38547,0.174,0.611,0.698,0.737,0.673
MAG-GUT38551,0.694,0.896,0.923,0.933,0.871
MAG-GUT38584,0.397,0.749,0.769,0.762,0.726
MAG-GUT38585,0.602,0.940,0.964,0.963,0.955
MAG-GUT38587,0.338,0.681,0.725,0.736,0.698
MAG-GUT38589,0.437,0.890,0.951,0.958,0.962
MAG-GUT38605,0.349,0.820,0.879,0.876,0.907
MAG-GUT38625,0.190,0.615,0.711,0.745,0.687
MAG-GUT38697,0.427,0.882,0.940,0.941,0.941
MAG-GUT38702,0.797,0.974,0.985,0.986,0.980
MAG-GUT38735,0.335,0.926,0.972,0.982,0.981
MAG-GUT3880,0.797,0.972,0.987,0.988,0.983
MAG-GUT38840,0.553,0.932,0.970,0.973,0.958
MAG-GUT38856,0.234,0.712,0.831,0.880,0.919
MAG-GUT38906,0.358,0.790,0.850,0.866,0.889
MAG-GUT3891,0.511,0.949,0.962,0.959,0.938
MAG-GUT38999,0.468,0.750,0.833,0.849,0.667
MAG-GUT39017,0.486,0.875,0.928,0.939,0.932
MAG-GUT39028,0.628,0.908,0.931,0.932,0.905
MAG-GUT39078,0.329,0.793,0.860,0.885,0.878
MAG-GUT3907,0.492,0.946,0.956,0.952,0.943
MAG-GUT39088,0.351,0.797,0.856,0.873,0.893
MAG-GUT39095,0.572,0.942,0.974,0.976,0.966
MAG-GUT39098,0.661,0.954,0.973,0.976,0.966
MAG-GUT39107,0.731,0.980,0.991,0.990,0.981
MAG-GUT39108,0.643,0.958,0.981,0.983,0.977
MAG-GUT39136,0.258,0.732,0.843,0.887,0.927
MAG-GUT39139,0.321,0.921,0.970,0.975,0.979
MAG-GUT39152,0.380,0.757,0.766,0.757,0.716
MAG-GUT39174,0.279,0.752,0.871,0.906,0.945
MAG-GUT39218,0.350,0.825,0.864,0.883,0.909
MAG-GUT3922,0.651,0.962,0.991,0.993,0.988
MAG-GUT39237,0.657,0.948,0.968,0.969,0.963
MAG-GUT39245,0.456,0.729,0.824,0.835,0.645
MAG-GUT39357,0.299,0.907,0.949,0.964,0.956
MAG-GUT39372,0.494,0.915,0.954,0.962,0.954
MAG-GUT39373,0.309,0.795,0.863,0.878,0.873
MAG-GUT39460,0.278,0.907,0.977,0.989,0.980
MAG-GUT39512,0.221,0.823,0.920,0.944,0.960
MAG-GUT39513,0.538,0.954,0.979,0.984,0.979
MAG-GUT39565,0.480,0.952,0.968,0.967,0.951
MAG-GUT39582,0.284,0.727,0.838,0.873,0.826
MAG-GUT39583,0.478,0.900,0.946,0.951,0.941
MAG-GUT39588,0.624,0.965,0.992,0.993,0.988
MAG-GUT39589,0.412,0.854,0.915,0.930,0.912
MAG-GUT39606,0.670,0.965,0.985,0.987,0.978
MAG-GUT39805,0.560,0.978,0.993,0.994,0.989
MAG-GUT3986,0.302,0.948,0.990,0.991,0.989
MAG-GUT39998,0.472,0.969,0.990,0.993,0.990
MAG-GUT399,0.647,0.973,0.992,0.992,0.988
MAG-GUT40004,0.541,0.970,0.993,0.996,0.994
MAG-GUT40025,0.446,0.731,0.769,0.778,0.833
MAG-GUT40028,0.282,0.652,0.717,0.722,0.703
MAG-GUT40033,0.454,0.747,0.774,0.785,0.848
MAG-GUT40105,0.795,0.989,0.999,0.999,0.998
MAG-GUT40221,0.304,0.921,0.965,0.978,0.980
MAG-GUT40251,0.328,0.812,0.893,0.910,0.890
MAG-GUT40305,0.690,0.978,0.996,0.997,0.991
MAG-GUT40411,0.332,0.813,0.867,0.887,0.905
MAG-GUT4044,0.440,0.715,0.773,0.755,0.714
MAG-GUT40486,0.377,0.845,0.873,0.888,0.905
MAG-GUT40499,0.571,0.942,0.980,0.986,0.971
MAG-GUT40517,0.457,0.875,0.933,0.940,0.943
MAG-GUT40608,0.591,0.964,0.991,0.990,0.988
MAG-GUT40620,0.368,0.821,0.892,0.906,0.889
MAG-GUT4062,0.394,0.716,0.741,0.751,0.704
MAG-GUT40638,0.347,0.828,0.888,0.907,0.898
MAG-GUT40702,0.375,0.826,0.872,0.888,0.905
MAG-GUT40706,0.472,0.886,0.945,0.950,0.941
MAG-GUT40831,0.701,0.977,0.995,0.996,0.992
MAG-GUT40856,0.196,0.736,0.847,0.885,0.888
MAG-GUT40857,0.575,0.922,0.951,0.961,0.954
MAG-GUT408,0.385,0.828,0.893,0.914,0.884
MAG-GUT40941,0.296,0.778,0.849,0.865,0.848
MAG-GUT409,0.361,0.829,0.899,0.909,0.880
MAG-GUT41020,0.419,0.951,0.987,0.990,0.985
MAG-GUT41097,0.668,0.951,0.978,0.981,0.972
MAG-GUT41148,0.232,0.594,0.717,0.759,0.707
MAG-GUT41171,0.363,0.821,0.887,0.910,0.894
MAG-GUT41193,0.331,0.829,0.860,0.884,0.902
MAG-GUT41197,0.409,0.874,0.905,0.913,0.886
MAG-GUT4125,0.378,0.748,0.755,0.758,0.721
MAG-GUT412,0.375,0.837,0.892,0.915,0.882
MAG-GUT41378,0.522,0.876,0.922,0.937,0.942
MAG-GUT4151,0.334,0.838,0.887,0.890,0.917
MAG-GUT41528,0.776,0.986,0.989,0.991,0.985
MAG-GUT41616,0.367,0.826,0.880,0.894,0.887
MAG-GUT41665,0.597,0.934,0.968,0.971,0.961
MAG-GUT41817,0.455,0.958,0.988,0.993,0.985
MAG-GUT41818,0.368,0.827,0.865,0.888,0.912
MAG-GUT41852,0.453,0.902,0.940,0.952,0.966
MAG-GUT41860,0.351,0.930,0.967,0.979,0.982
MAG-GUT418,0.383,0.840,0.906,0.912,0.887
MAG-GUT41911,0.461,0.964,0.988,0.991,0.987
MAG-GUT41924,0.372,0.955,0.987,0.991,0.984
MAG-GUT41956,0.349,0.868,0.935,0.955,0.963
MAG-GUT41,0.409,0.964,0.993,0.997,0.989
MAG-GUT42066,0.441,0.851,0.898,0.924,0.922
MAG-GUT4207,0.451,0.799,0.806,0.824,0.776
MAG-GUT420,0.386,0.827,0.888,0.906,0.875
MAG-GUT42116,0.708,0.971,0.989,0.990,0.981
MAG-GUT42125,0.624,0.915,0.929,0.936,0.907
MAG-GUT42163,0.367,0.839,0.884,0.905,0.885
MAG-GUT42174,0.362,0.829,0.889,0.905,0.909
MAG-GUT421,0.257,0.826,0.889,0.898,0.857
MAG-GUT42210,0.583,0.960,0.980,0.985,0.981
MAG-GUT42294,0.618,0.964,0.979,0.984,0.980
MAG-GUT422,0.315,0.833,0.899,0.907,0.883
MAG-GUT42317,0.393,0.873,0.907,0.913,0.901
MAG-GUT42358,0.392,0.743,0.824,0.826,0.833
MAG-GUT423,0.328,0.841,0.902,0.916,0.881
MAG-GUT42455,0.335,0.833,0.887,0.905,0.882
MAG-GUT42468,0.503,0.892,0.940,0.948,0.943
MAG-GUT4247,0.513,0.934,0.970,0.974,0.974
MAG-GUT42485,0.592,0.929,0.963,0.971,0.957
MAG-GUT42494,0.615,0.959,0.982,0.987,0.981
MAG-GUT42537,0.245,0.590,0.691,0.731,0.692
MAG-GUT42578,0.705,0.941,0.969,0.976,0.956
MAG-GUT42584,0.564,0.930,0.963,0.967,0.963
MAG-GUT425,0.360,0.835,0.875,0.893,0.864
MAG-GUT4260,0.311,0.942,0.989,0.994,0.988
MAG-GUT42613,0.454,0.735,0.774,0.788,0.844
MAG-GUT42654,0.296,0.813,0.882,0.900,0.887
MAG-GUT42662,0.337,0.855,0.913,0.938,0.954
MAG-GUT42663,0.551,0.912,0.952,0.952,0.943
MAG-GUT42675,0.387,0.806,0.872,0.888,0.906
MAG-GUT42689,0.543,0.820,0.863,0.881,0.826
MAG-GUT4268,0.758,0.981,0.991,0.991,0.982
MAG-GUT42699,0.318,0.934,0.974,0.977,0.953
MAG-GUT42710,0.716,0.976,0.986,0.984,0.983
MAG-GUT42731,0.413,0.950,0.964,0.961,0.943
MAG-GUT42774,0.573,0.959,0.982,0.987,0.975
MAG-GUT42780,0.332,0.924,0.966,0.976,0.978
MAG-GUT42829,0.275,0.778,0.848,0.871,0.856
MAG-GUT42852,0.626,0.943,0.973,0.976,0.968
MAG-GUT42861,0.235,0.809,0.896,0.908,0.903
MAG-GUT42865,0.366,0.936,0.983,0.985,0.980
MAG-GUT42867,0.539,0.974,0.990,0.992,0.989
MAG-GUT4289,0.499,0.952,0.967,0.967,0.948
MAG-GUT429,0.334,0.835,0.900,0.909,0.880
MAG-GUT4300,0.646,0.967,0.984,0.989,0.976
MAG-GUT430,0.356,0.831,0.896,0.895,0.868
MAG-GUT43110,0.315,0.927,0.974,0.978,0.981
MAG-GUT43146,0.234,0.891,0.983,0.990,0.981
MAG-GUT43152,0.533,0.893,0.914,0.924,0.917
MAG-GUT43155,0.427,0.755,0.795,0.776,0.474
MAG-GUT43176,0.459,0.941,0.972,0.962,0.944
MAG-GUT43178,0.277,0.763,0.859,0.914,0.980
MAG-GUT431,0.362,0.817,0.887,0.901,0.873
MAG-GUT43216,0.643,0.984,0.997,0.999,0.996
MAG-GUT43227,0.342,0.959,0.988,0.994,0.988
MAG-GUT43233,0.542,0.887,0.917,0.926,0.916
MAG-GUT43248,0.486,0.885,0.913,0.926,0.913
MAG-GUT43251,0.317,0.920,0.964,0.976,0.975
MAG-GUT43254,0.460,0.818,0.837,0.830,0.910
MAG-GUT43258,0.217,0.540,0.706,0.772,0.680
MAG-GUT43269,0.605,0.961,0.981,0.981,0.979
MAG-GUT43289,0.798,0.987,0.995,0.993,0.991
MAG-GUT432,0.372,0.819,0.880,0.893,0.866
MAG-GUT43329,0.564,0.895,0.916,0.923,0.916
MAG-GUT43330,0.700,0.944,0.962,0.967,0.958
MAG-GUT43366,0.408,0.856,0.926,0.944,0.924
MAG-GUT43377,0.526,0.958,0.980,0.986,0.973
MAG-GUT43378,0.351,0.736,0.789,0.808,0.801
MAG-GUT4338,0.273,0.727,0.847,0.887,0.931
MAG-GUT433,0.367,0.810,0.886,0.896,0.862
MAG-GUT43402,0.440,0.959,0.991,0.995,0.990
MAG-GUT43425,0.451,0.964,0.995,0.995,0.990
MAG-GUT43440,0.367,0.951,0.985,0.987,0.947
MAG-GUT43446,0.426,0.958,0.991,0.995,0.989
MAG-GUT43457,0.462,0.952,0.991,0.995,0.989
MAG-GUT43462,0.438,0.962,0.995,0.997,0.989
MAG-GUT43463,0.483,0.953,0.985,0.987,0.979
MAG-GUT43483,0.417,0.941,0.980,0.981,0.973
MAG-GUT43491,0.404,0.957,0.990,0.994,0.991
MAG-GUT43515,0.430,0.967,0.992,0.994,0.992
MAG-GUT43534,0.369,0.817,0.871,0.894,0.909
MAG-GUT43570,0.149,0.682,0.809,0.863,0.920
MAG-GUT43573,0.401,0.959,0.989,0.995,0.986
MAG-GUT43577,0.394,0.955,0.988,0.993,0.985
MAG-GUT435,0.327,0.807,0.878,0.898,0.858
MAG-GUT43620,0.471,0.957,0.992,0.996,0.989
MAG-GUT43623,0.376,0.856,0.912,0.918,0.898
MAG-GUT43628,0.397,0.846,0.906,0.917,0.893
MAG-GUT43633,0.627,0.940,0.964,0.970,0.970
MAG-GUT43648,0.371,0.909,0.958,0.967,0.971
MAG-GUT43658,0.399,0.838,0.884,0.897,0.916
MAG-GUT43691,0.646,0.975,0.994,0.993,0.989
MAG-GUT43698,0.550,0.837,0.847,0.828,0.699
MAG-GUT43751,0.469,0.961,0.991,0.994,0.987
MAG-GUT43773,0.696,0.981,0.992,0.993,0.991
MAG-GUT43797,0.539,0.969,0.981,0.981,0.984
MAG-GUT43835,0.509,0.875,0.904,0.913,0.900
MAG-GUT43894,0.554,0.921,0.972,0.976,0.970
MAG-GUT4390,0.376,0.823,0.861,0.888,0.910
MAG-GUT43934,0.412,0.868,0.925,0.935,0.915
MAG-GUT43936,0.564,0.956,0.987,0.992,0.975
MAG-GUT43943,0.451,0.953,0.993,0.995,0.986
MAG-GUT43946,0.654,0.943,0.967,0.969,0.954
MAG-GUT43957,0.332,0.930,0.967,0.976,0.978
MAG-GUT44000,0.142,0.707,0.844,0.879,0.934
MAG-GUT44002,0.462,0.711,0.738,0.735,0.666
MAG-GUT44104,0.563,0.820,0.873,0.877,0.823
MAG-GUT44111,0.114,0.651,0.798,0.856,0.928
MAG-GUT44112,0.383,0.933,0.976,0.984,0.973
MAG-GUT44177,0.421,0.954,0.988,0.992,0.984
MAG-GUT44179,0.387,0.957,0.992,0.993,0.993
MAG-GUT44190,0.695,0.949,0.965,0.964,0.961
MAG-GUT441,0.322,0.825,0.880,0.894,0.860
MAG-GUT44212,0.639,0.974,0.994,0.996,0.991
MAG-GUT44261,0.626,0.974,0.992,0.993,0.992
MAG-GUT4426,0.610,0.974,0.994,0.996,0.991
MAG-GUT44374,0.574,0.972,0.986,0.990,0.987
MAG-GUT4440,0.294,0.621,0.742,0.770,0.709
MAG-GUT44412,0.358,0.846,0.916,0.935,0.953
MAG-GUT44433,0.451,0.899,0.961,0.966,0.925
