"Supplementary Table S1. Metadata of the 2,505 genomes used as reference to train the species classification model",,,,,,,,,,,,,
Genome,Source,Species label,Assignment level1,Phylum,Class,Order,Family,Genus,Species2, Genome size (bp) ,# Contigs, N50 (bp) ,GC (%)
UMGS1561,UMGS,1138,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,-," 2,605,523 ",424," 7,845 ",48.75
UMGS1562,UMGS,1139,Genus,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,-," 1,837,242 ",164," 15,471 ",56.71
UMGS1563,UMGS,1140,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 2,167,242 ",301," 8,915 ",41.94
UMGS1564,UMGS,1141,Family,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,NA,-," 1,503,585 ",82," 28,060 ",63.40
UMGS1565,UMGS,1142,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,731,928 ",271," 7,955 ",60.08
UMGS1566,UMGS,1143,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-," 1,947,072 ",383," 5,931 ",54.60
UMGS1567,UMGS,1144,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,502,775 ",300," 5,464 ",59.93
UMGS1568,UMGS,1145,Genus,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Phascolarctobacterium,-," 1,609,485 ",217," 9,356 ",47.62
UMGS1569,UMGS,1146,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 1,515,498 ",275," 6,561 ",48.94
UMGS156,UMGS,1147,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,-," 2,768,187 ",93," 42,409 ",50.23
UMGS1570,UMGS,1148,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 1,722,168 ",59," 64,660 ",27.88
UMGS1571,UMGS,1149,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 1,325,985 ",86," 26,571 ",38.51
UMGS1572,UMGS,1150,Phylum,Tenericutes,NA,NA,NA,NA,-," 925,904 ",190," 5,710 ",30.73
UMGS1573,UMGS,1151,Phylum,Tenericutes,NA,NA,NA,NA,-," 1,399,081 ",137," 12,809 ",27.19
UMGS1574,UMGS,1152,Family,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,NA,-," 2,193,751 ",168," 19,950 ",53.89
UMGS1575,UMGS,1153,Phylum,Tenericutes,NA,NA,NA,NA,-," 1,372,401 ",108," 16,651 ",28.71
UMGS1576,UMGS,1154,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 1,578,561 ",54," 51,128 ",27.62
UMGS1577,UMGS,1155,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 1,933,350 ",112," 27,519 ",51.44
UMGS1578,UMGS,1156,Class,Proteobacteria,Alphaproteobacteria,NA,NA,NA,-," 1,167,877 ",203," 7,073 ",40.65
UMGS1579,UMGS,1157,Genus,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,-," 1,499,364 ",208," 8,741 ",48.49
UMGS157,UMGS,1158,Family,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,NA,-," 2,438,682 ",133," 27,103 ",40.44
UMGS1580,UMGS,1159,Genus,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,-," 1,915,584 ",70," 39,250 ",58.43
UMGS1581,UMGS,1160,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnobacterium,-," 3,845,795 ",756," 6,259 ",40.67
UMGS1582,UMGS,1161,Genus,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,-," 3,637,953 ",377," 12,451 ",60.84
UMGS1583,UMGS,1162,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,375,239 ",249," 13,964 ",61.53
UMGS1584,UMGS,1163,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,-," 2,055,114 ",332," 7,547 ",50.22
UMGS1585,UMGS,1164,None,NA,NA,NA,NA,NA,-," 1,935,340 ",243," 10,855 ",32.47
UMGS1586,UMGS,1165,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,545,027 ",260," 7,510 ",59.35
UMGS1587,UMGS,1166,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,-," 1,454,145 ",49," 37,551 ",63.79
UMGS1589,UMGS,1167,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,727,368 ",303," 6,600 ",59.88
UMGS158,UMGS,1168,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 2,123,910 ",249," 12,364 ",31.41
UMGS1590,UMGS,1169,Family,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,NA,-," 1,771,826 ",226," 9,536 ",46.12
UMGS1591,UMGS,1170,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-," 2,510,351 ",155," 25,893 ",59.13
UMGS1594,UMGS,1171,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 1,427,777 ",77," 27,360 ",27.28
UMGS1595,UMGS,1172,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,-," 2,240,444 ",48," 87,231 ",45.34
UMGS1596,UMGS,1173,Family,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,NA,-," 2,530,725 ",98," 40,799 ",48.51
UMGS1597,UMGS,1174,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,965,083 ",185," 14,393 ",59.95
UMGS1598,UMGS,1175,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,-," 1,599,597 ",202," 11,921 ",54.42
UMGS159,UMGS,1176,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-," 2,519,527 ",128," 25,767 ",44.93
UMGS15,UMGS,1177,Genus,Tenericutes,Mollicutes,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium,-," 2,130,116 ",99," 38,511 ",33.81
UMGS1600,UMGS,1178,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,254,713 ",340," 7,605 ",57.98
UMGS1601,UMGS,1179,Genus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,-," 1,469,416 ",280," 6,335 ",39.41
UMGS1602,UMGS,1180,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,491,735 ",239," 14,492 ",59.98
UMGS1603,UMGS,1181,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,663,359 ",170," 24,059 ",62.77
UMGS1604,UMGS,1182,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 1,258,708 ",64," 34,998 ",29.92
UMGS1605,UMGS,1183,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-," 2,458,769 ",344," 9,453 ",45.02
UMGS1606,UMGS,1184,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,783,188 ",327," 6,248 ",59.73
UMGS1607,UMGS,1185,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-," 3,582,791 ",356," 15,081 ",40.60
UMGS1608,UMGS,1186,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,807,375 ",273," 8,118 ",60.08
UMGS1609,UMGS,1187,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 1,721,367 ",13," 399,458 ",27.79
UMGS160,UMGS,1188,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-," 2,222,879 ",61," 52,047 ",38.67
UMGS1610,UMGS,1189,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 1,833,080 ",338," 6,435 ",56.15
UMGS1611,UMGS,1190,Phylum,Tenericutes,NA,NA,NA,NA,-," 912,868 ",178," 5,907 ",26.72
UMGS1612,UMGS,1191,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 1,467,573 ",75," 31,840 ",27.01
UMGS1613,UMGS,1192,Phylum,Tenericutes,NA,NA,NA,NA,-," 1,161,456 ",23," 81,832 ",27.18
UMGS1614,UMGS,1193,Class,Tenericutes,Mollicutes,NA,NA,NA,-," 1,699,890 ",408," 4,375 ",31.54
UMGS1615,UMGS,1194,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-," 2,683,472 ",86," 42,655 ",45.75
UMGS1616,UMGS,1195,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 1,253,087 ",54," 48,370 ",29.36
UMGS1617,UMGS,1196,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-," 2,681,460 ",106," 40,277 ",47.46
UMGS1618,UMGS,1197,Phylum,Tenericutes,NA,NA,NA,NA,-," 948,994 ",255," 3,975 ",25.30
UMGS1619,UMGS,1198,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 4,184,006 ",873," 5,318 ",30.69
UMGS161,UMGS,1199,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-," 2,773,711 ",54," 99,238 ",48.19
UMGS1620,UMGS,1200,Order,Bacteroidetes,Flavobacteriia,Flavobacteriales,NA,NA,-," 1,516,718 ",303," 5,627 ",49.65
UMGS1621,UMGS,1201,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 1,689,282 ",246," 8,830 ",60.56
UMGS1622,UMGS,1202,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,-," 2,907,985 ",122," 35,730 ",43.48
UMGS1623,UMGS,1203,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-," 1,763,729 ",241," 9,637 ",54.63
UMGS1624,UMGS,1204,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,-," 2,485,365 ",58," 62,131 ",48.36
UMGS1625,UMGS,1205,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 5,717,786 ",109," 82,622 ",50.04
UMGS1626,UMGS,1206,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-," 2,629,881 ",375," 8,759 ",48.58
UMGS1627,UMGS,1207,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,699,998 ",235," 8,912 ",59.88
UMGS1628,UMGS,1208,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-," 2,403,682 ",281," 11,000 ",51.07
UMGS1629,UMGS,1209,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Olsenella,-," 1,651,650 ",342," 5,492 ",69.04
UMGS162,UMGS,1210,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,-," 2,413,904 ",22," 177,012 ",46.22
UMGS1630,UMGS,1211,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 1,541,113 ",40," 69,539 ",28.83
UMGS1631,UMGS,1212,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,260,898 ",336," 3,739 ",59.91
UMGS1632,UMGS,1213,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Eggerthella,-," 1,528,173 ",25," 97,144 ",54.05
UMGS1633,UMGS,1214,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 1,936,169 ",371," 5,799 ",58.04
UMGS1634,UMGS,1215,Family,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,NA,-," 1,871,780 ",33," 94,080 ",48.55
UMGS1635,UMGS,1216,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,-," 1,909,705 ",67," 45,055 ",51.62
UMGS1636,UMGS,1217,Class,Firmicutes,Clostridia,NA,NA,NA,-," 1,029,878 ",180," 7,095 ",47.98
UMGS1637,UMGS,1218,Genus,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,-," 2,333,811 ",115," 32,314 ",35.34
UMGS1638,UMGS,1219,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,702,678 ",259," 8,267 ",60.23
UMGS1639,UMGS,1220,Genus,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Butyricicoccus,-," 1,733,245 ",282," 7,419 ",55.54
UMGS163,UMGS,1221,Genus,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,-," 2,385,783 ",63," 56,190 ",50.83
UMGS1640,UMGS,1222,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 1,125,509 ",48," 40,101 ",29.68
UMGS1641,UMGS,1223,Genus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,-," 2,130,420 ",266," 10,219 ",47.47
UMGS1642,UMGS,1224,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 1,822,100 ",44," 90,411 ",25.52
UMGS1643,UMGS,1225,Family,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,-," 5,266,198 ",89," 83,802 ",53.25
UMGS1644,UMGS,1226,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Slackia,-," 1,479,769 ",276," 6,380 ",57.67
UMGS1645,UMGS,1227,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,-," 2,098,309 ",235," 12,004 ",49.86
UMGS1646,UMGS,1228,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,-," 4,396,624 ",728," 7,584 ",39.28
UMGS1647,UMGS,1229,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,-," 3,035,309 ",26," 155,403 ",41.20
UMGS1648,UMGS,1230,Phylum,Tenericutes,NA,NA,NA,NA,-," 988,639 ",129," 10,259 ",34.34
UMGS1649,UMGS,1231,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 1,061,860 ",39," 47,519 ",30.68
UMGS164,UMGS,1232,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,946,794 ",51," 46,857 ",59.84
UMGS1650,UMGS,1233,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 1,161,909 ",48," 42,457 ",28.83
UMGS1651,UMGS,1234,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,050,277 ",118," 28,464 ",59.57
UMGS1652,UMGS,1235,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 1,514,682 ",21," 135,380 ",25.82
UMGS1653,UMGS,1236,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Slackia,-," 2,030,892 ",231," 11,666 ",62.43
UMGS1654,UMGS,1237,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,-," 3,087,539 ",88," 43,368 ",49.24
UMGS1656,UMGS,1238,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 1,080,344 ",219," 5,710 ",58.70
UMGS1657,UMGS,1239,None,NA,NA,NA,NA,NA,-," 1,791,873 ",206," 11,220 ",29.67
UMGS1658,UMGS,1240,Phylum,Tenericutes,NA,NA,NA,NA,-," 940,779 ",36," 46,718 ",26.32
UMGS1659,UMGS,1241,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,-," 3,475,143 ",600," 7,180 ",40.55
UMGS165,UMGS,1242,Family,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,NA,-," 1,845,572 ",80," 36,850 ",49.08
UMGS1660,UMGS,1243,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 2,138,468 ",238," 12,421 ",45.55
UMGS1661,UMGS,1244,Phylum,Tenericutes,NA,NA,NA,NA,-," 1,292,936 ",27," 95,631 ",25.23
UMGS1662,UMGS,1245,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,-," 3,235,410 ",163," 31,338 ",46.92
UMGS1663,UMGS,1246,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 1,426,431 ",107," 18,400 ",28.33
UMGS1664,UMGS,1247,None,NA,NA,NA,NA,NA,-," 2,020,329 ",69," 41,267 ",33.34
UMGS1665,UMGS,1248,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,212,207 ",453," 5,489 ",62.80
UMGS1666,UMGS,1249,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 1,555,537 ",67," 36,126 ",27.91
UMGS1667,UMGS,1250,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,628,537 ",233," 8,026 ",59.56
UMGS1668,UMGS,1251,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-," 1,655,658 ",151," 15,611 ",50.80
UMGS1669,UMGS,1252,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 1,763,981 ",478," 3,883 ",28.99
UMGS166,UMGS,1253,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,-," 2,049,752 ",83," 33,763 ",52.75
UMGS1670,UMGS,1254,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 1,945,205 ",245," 10,338 ",39.50
UMGS1671,UMGS,1255,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 1,894,430 ",455," 4,431 ",62.71
UMGS1672,UMGS,1256,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 1,605,952 ",21," 130,430 ",28.66
UMGS1673,UMGS,1257,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 1,712,909 ",69," 42,637 ",26.12
UMGS1674,UMGS,1258,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,-," 2,535,715 ",271," 12,181 ",53.75
UMGS1675,UMGS,1259,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 2,295,711 ",525," 4,728 ",32.86
UMGS1676,UMGS,1260,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,508,861 ",387," 7,442 ",43.49
UMGS1677,UMGS,1261,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 1,784,450 ",45," 51,382 ",27.46
UMGS1678,UMGS,1262,Genus,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Selenomonas,-," 2,079,184 ",113," 29,271 ",61.81
UMGS167,UMGS,1263,Family,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XI,NA,-," 1,575,900 ",47," 61,435 ",36.40
UMGS1680,UMGS,1264,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,828,741 ",246," 9,697 ",60.54
UMGS1681,UMGS,1265,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 1,402,711 ",79," 26,477 ",26.72
UMGS1682,UMGS,1266,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 1,418,286 ",75," 26,757 ",44.24
UMGS1683,UMGS,1267,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,800,113 ",37," 69,821 ",60.40
UMGS1684,UMGS,1268,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,-," 2,373,892 ",65," 67,171 ",53.19
UMGS1685,UMGS,1269,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 1,465,513 ",15," 143,878 ",60.84
UMGS1686,UMGS,1270,None,NA,NA,NA,NA,NA,-," 1,948,974 ",272," 9,091 ",36.67
UMGS1687,UMGS,1271,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,-," 2,764,359 ",531," 6,290 ",36.96
UMGS1688,UMGS,1272,Class,Firmicutes,Clostridia,NA,NA,NA,-," 1,048,718 ",214," 5,521 ",55.55
UMGS1689,UMGS,1273,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 1,532,993 ",58," 46,637 ",26.41
UMGS168,UMGS,1274,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-," 2,450,107 ",55," 79,923 ",58.46
UMGS1690,UMGS,1275,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-," 1,409,561 ",290," 5,313 ",43.51
UMGS1691,UMGS,1276,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-," 3,371,717 ",222," 24,407 ",50.38
UMGS1692,UMGS,1277,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-," 2,054,884 ",184," 15,887 ",59.40
UMGS1693,UMGS,1278,Genus,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,-," 1,977,678 ",111," 28,675 ",53.48
UMGS1694,UMGS,1279,Genus,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,-," 1,226,543 ",319," 3,952 ",35.47
UMGS1695,UMGS,1280,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 2,060,019 ",192," 13,973 ",59.68
UMGS1696,UMGS,1281,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,633,333 ",338," 10,145 ",55.37
UMGS1697,UMGS,1282,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,-," 2,948,168 ",78," 61,721 ",48.02
UMGS1698,UMGS,1283,Family,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,NA,-," 1,223,013 ",282," 4,914 ",40.81
UMGS1699,UMGS,1284,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 1,573,654 ",28," 138,221 ",26.41
UMGS169,UMGS,1285,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 2,234,141 ",36," 109,569 ",43.84
UMGS16,UMGS,1286,Genus,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,-," 2,094,981 ",19," 293,829 ",39.01
UMGS1700,UMGS,1287,Phylum,Tenericutes,NA,NA,NA,NA,-," 1,277,277 ",51," 42,010 ",29.65
UMGS1701,UMGS,1288,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,614,838 ",315," 5,991 ",60.56
UMGS1702,UMGS,1289,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 1,728,301 ",106," 23,393 ",61.42
UMGS1703,UMGS,1290,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-," 1,073,904 ",14," 123,147 ",37.28
UMGS1704,UMGS,1291,Family,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,NA,-," 1,903,557 ",350," 6,644 ",59.31
UMGS1705,UMGS,1292,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 1,370,293 ",88," 22,830 ",30.12
UMGS1706,UMGS,1293,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 2,000,233 ",118," 23,114 ",59.75
UMGS1707,UMGS,1294,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 838,239 ",111," 9,335 ",46.29
UMGS1708,UMGS,1295,Phylum,Tenericutes,NA,NA,NA,NA,-," 953,006 ",21," 63,309 ",29.97
UMGS1709,UMGS,1296,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-," 1,949,376 ",36," 82,365 ",40.80
UMGS170,UMGS,1297,Genus,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Phyllobacterium,-," 5,102,924 ",94," 105,714 ",59.29
UMGS1710,UMGS,1298,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,-," 4,798,756 ",638," 10,230 ",40.88
UMGS1711,UMGS,1299,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 1,306,779 ",30," 54,922 ",26.68
UMGS1712,UMGS,1300,Genus,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Phascolarctobacterium,-," 1,578,679 ",249," 7,572 ",45.16
UMGS1713,UMGS,1301,None,NA,NA,NA,NA,NA,-," 1,698,024 ",204," 11,297 ",35.65
UMGS1714,UMGS,1302,Order,Bacteroidetes,Bacteroidia,Bacteroidales,NA,NA,-," 2,189,567 ",296," 9,640 ",57.98
UMGS1715,UMGS,1303,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 1,390,156 ",197," 9,599 ",53.89
UMGS1716,UMGS,1304,Genus,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,-," 793,258 ",41," 27,445 ",30.10
UMGS1717,UMGS,1305,Genus,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Oscillibacter,-," 2,016,272 ",200," 14,424 ",61.29
UMGS1718,UMGS,1306,Genus,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,-," 1,826,986 ",381," 5,370 ",48.21
UMGS1719,UMGS,1307,Genus,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,-," 1,816,117 ",402," 4,975 ",65.21
UMGS171,UMGS,1308,Class,Tenericutes,Mollicutes,NA,NA,NA,-," 1,349,887 ",9," 211,655 ",38.21
UMGS1720,UMGS,1309,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,552,334 ",299," 5,868 ",61.23
UMGS1721,UMGS,1310,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,673,636 ",263," 7,808 ",59.93
UMGS1722,UMGS,1311,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-," 1,653,947 ",286," 6,695 ",47.29
UMGS1724,UMGS,1312,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,592,570 ",327," 5,494 ",59.94
UMGS1725,UMGS,1313,Phylum,Tenericutes,NA,NA,NA,NA,-," 1,577,112 ",356," 4,636 ",27.92
UMGS1726,UMGS,1314,Genus,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,-," 1,922,704 ",259," 9,350 ",60.29
UMGS1727,UMGS,1315,Genus,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Acidaminococcus,-," 1,062,792 ",17," 130,558 ",49.09
UMGS1728,UMGS,1316,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 1,147,851 ",133," 12,513 ",47.39
