"Supplementary Table S2. Metadata of the 3,269 high quality MAGs used to benchmark the read-level specificity and sensitivity of different species classification models ",,,,,,,,,,,,,,,,,,,
MAG_ID_ENA,Completeness (%),Closest reference,Species label, Reference genome size (bp) ,Reference genome covered (%),CheckM lineage (reference),Phylum (reference),Class (reference),Order (reference),Family (reference),Genus (reference), MAG genome size (bp) ,MAG aligned to reference (%),ANI between MAG and reference (%),Mash distance between MAG and reference,Most similar reference covered (%),Reference aligned to most similar reference (%),ANI between reference and most similar reference (%),Mash distance between reference and most similar reference
MAG-GUT46181,97.95,21673_4_22,201," 2,827,949 ",77.57,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,424,908 ",90.06,97.88,0.02,81.78,64.89,89.46,0.09
MAG-GUT46186,90.60,UMGS86,2362," 2,272,231 ",83.12,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unassigned," 2,061,015 ",91.73,98.21,0.02,18.11,14.44,84.15,0.21
MAG-GUT46199,95.34,GCF_000186505,327," 2,965,437 ",86.13,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella;s__Sutterella_wadsworthensis,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella," 2,741,540 ",92.92,97.82,0.02,6.20,4.51,87.03,0.21
MAG-GUT46219,95.30,GCF_000155855,253," 3,028,326 ",75.27,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,Firmicutes,Clostridia,Clostridiales,Unassigned,Unassigned," 2,439,021 ",93.00,99.32,0.01,5.24,7.40,95.69,0.15
MAG-GUT46247,95.97,GCF_000163735,310," 2,174,425 ",78.11,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__Veillonella_parvula,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 1,770,064 ",95.63,97.09,0.03,72.47,53.88,88.75,0.10
MAG-GUT46257,92.66,UMGS92,2428," 1,753,032 ",76.30,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Family_XI._Incertae_Sedis;g__Peptoniphilus,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XI,Peptoniphilus," 1,887,461 ",70.68,96.50,0.04,79.65,74.55,89.12,0.10
MAG-GUT46265,97.83,GCF_000155515,251," 3,025,352 ",85.56,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus," 2,734,308 ",94.51,99.31,0.01,18.26,18.49,85.26,0.23
MAG-GUT462,100.00,GCF_001025175,476," 2,269,415 ",81.41,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium," 2,187,246 ",84.25,98.18,0.02,42.94,52.81,90.19,0.11
MAG-GUT4634,93.38,UMGS287,1755," 2,680,968 ",80.23,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella," 2,405,228 ",88.52,98.17,0.02,7.91,7.55,87.34,0.17
MAG-GUT46354,95.97,20287_6_22,132," 3,052,732 ",78.33,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,590,313 ",91.87,98.75,0.02,4.05,3.43,94.23,0.19
MAG-GUT46378,97.36,21673_4_5,211," 3,315,322 ",86.45,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2;g__Barnesiella,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Barnesiella," 2,963,290 ",96.11,98.64,0.02,2.95,3.53,96.98,0.17
MAG-GUT46397,95.97,UMGS82,2320," 2,597,904 ",80.81,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium," 2,366,027 ",88.32,98.55,0.02,56.92,87.17,98.40,0.03
MAG-GUT463,100.00,GCF_001025175,476," 2,269,415 ",84.71,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium," 2,210,190 ",86.84,98.25,0.02,42.94,52.81,90.19,0.11
MAG-GUT46435,98.80,GCF_000163735,310," 2,174,425 ",82.29,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__Veillonella_parvula,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 1,888,988 ",94.55,97.08,0.03,72.47,53.88,88.75,0.10
MAG-GUT46437,99.63,20298_3_11,158," 2,754,334 ",92.62,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecalis,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus," 2,918,044 ",87.22,99.16,0.01,2.77,2.91,85.76,0.23
MAG-GUT46441,99.63,20298_3_11,158," 2,754,334 ",92.56,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecalis,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus," 2,861,853 ",88.85,99.16,0.01,2.77,2.91,85.76,0.23
MAG-GUT46486,98.54,GCF_001025175,476," 2,269,415 ",87.63,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium," 2,211,322 ",89.90,99.04,0.01,42.94,52.81,90.19,0.11
MAG-GUT46493,100.00,GCF_001025175,476," 2,269,415 ",88.30,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium," 2,210,672 ",90.26,99.04,0.01,42.94,52.81,90.19,0.11
MAG-GUT46496,99.46,GCF_000026505,228," 3,010,111 ",86.25,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_rhamnosus,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus," 2,875,625 ",90.08,97.51,0.02,0.82,1.10,91.46,0.23
MAG-GUT464,100.00,GCF_001025175,476," 2,269,415 ",83.89,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium," 2,220,113 ",85.34,98.16,0.02,42.94,52.81,90.19,0.11
MAG-GUT4651,90.84,UMGS287,1755," 2,680,968 ",76.56,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella," 2,219,148 ",91.00,98.18,0.02,7.91,7.55,87.34,0.17
MAG-GUT46526,95.89,21673_4_22,201," 2,827,949 ",79.03,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,507,822 ",88.12,97.84,0.02,81.78,64.89,89.46,0.09
MAG-GUT46540,97.82,UMGS42,1904," 3,004,049 ",89.94,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae_2;g__Lachnospira,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira," 2,856,992 ",94.72,99.03,0.01,46.71,45.82,88.73,0.12
MAG-GUT465,100.00,GCF_001025175,476," 2,269,415 ",83.74,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium," 2,310,194 ",82.15,98.29,0.02,42.94,52.81,90.19,0.11
MAG-GUT46630,97.15,21673_4_22,201," 2,827,949 ",75.33,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,443,401 ",86.40,97.78,0.03,81.78,64.89,89.46,0.09
MAG-GUT46649,99.06,GCF_000026505,228," 3,010,111 ",84.67,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_rhamnosus,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus," 2,947,913 ",86.26,97.52,0.03,0.82,1.10,91.46,0.23
MAG-GUT46652,98.20,UMGS82,2320," 2,597,904 ",84.70,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium," 2,489,156 ",88.10,98.28,0.02,56.92,87.17,98.40,0.03
MAG-GUT46658,98.11,13414_6_58,58," 2,507,220 ",78.28,k__Bacteria;p__Tenericutes;c__Mollicutes;o__Erysipelotrichales;f__Erysipelotrichaceae,Tenericutes,Mollicutes,Erysipelotrichales,Erysipelotrichaceae,Unassigned," 2,064,642 ",94.30,99.25,0.01,64.40,70.08,91.35,0.07
MAG-GUT46719,98.85,GCF_000273525,381," 2,216,395 ",91.94,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_bifidum,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium," 2,166,512 ",94.16,99.20,0.01,20.25,20.81,86.78,0.16
MAG-GUT46722,98.43,GCF_000026505,228," 3,010,111 ",84.10,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_rhamnosus,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus," 2,928,158 ",86.11,97.52,0.03,0.82,1.10,91.46,0.23
MAG-GUT46760,99.31,GCF_000020425,227," 2,832,748 ",76.71,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium," 2,398,528 ",88.90,98.39,0.02,52.79,42.93,90.20,0.11
MAG-GUT46783,97.72,UMGS81,2310," 2,147,437 ",84.04,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unassigned," 2,208,276 ",82.56,98.21,0.02,2.53,2.50,81.54,0.24
MAG-GUT467,99.85,GCF_001025175,476," 2,269,415 ",83.23,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium," 2,268,054 ",83.16,98.28,0.02,42.94,52.81,90.19,0.11
MAG-GUT46826,94.45,UMGS86,2362," 2,272,231 ",84.24,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unassigned," 2,035,111 ",94.05,97.97,0.02,18.11,14.44,84.15,0.21
MAG-GUT46868,99.63,20298_3_11,158," 2,754,334 ",92.29,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecalis,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus," 2,833,996 ",89.59,99.13,0.01,2.77,2.91,85.76,0.23
MAG-GUT46888,95.89,21673_4_22,201," 2,827,949 ",78.64,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,426,309 ",90.80,97.86,0.02,81.78,64.89,89.46,0.09
MAG-GUT468,98.53,GCF_001025175,476," 2,269,415 ",83.26,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium," 2,292,556 ",82.02,98.27,0.02,42.94,52.81,90.19,0.11
MAG-GUT46914,95.30,14207_7_9,112," 3,035,220 ",76.73,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae_2;g__Lachnospira,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira," 2,410,518 ",96.41,99.21,0.01,26.84,26.34,89.17,0.14
MAG-GUT46922,97.60,GCF_000163735,310," 2,174,425 ",83.82,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__Veillonella_parvula,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 2,012,276 ",90.70,96.48,0.03,72.47,53.88,88.75,0.10
MAG-GUT46923,98.40,GCF_000238755,369," 1,895,632 ",80.98,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter," 1,786,601 ",85.07,95.56,0.04,1.83,0.59,93.11,0.26
MAG-GUT46931,100.00,GCF_000163735,310," 2,174,425 ",86.38,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__Veillonella_parvula,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 2,065,639 ",90.97,96.54,0.03,72.47,53.88,88.75,0.10
MAG-GUT46962,99.63,20298_3_11,158," 2,754,334 ",88.69,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecalis,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus," 2,723,484 ",89.42,99.02,0.01,2.77,2.91,85.76,0.23
MAG-GUT46965,96.52,UMGS55,2037," 2,527,682 ",87.62,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae_2;g__Clostridium_2,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium," 2,743,872 ",80.93,97.06,0.03,14.01,20.99,85.46,0.21
MAG-GUT46987,99.40,GCF_000163735,310," 2,174,425 ",84.69,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__Veillonella_parvula,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 1,973,519 ",93.29,96.70,0.03,72.47,53.88,88.75,0.10
MAG-GUT469,98.39,GCF_001025175,476," 2,269,415 ",82.65,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium," 2,119,448 ",88.23,98.25,0.02,42.94,52.81,90.19,0.11
MAG-GUT47063,95.96,12718_7_70,25," 2,007,573 ",88.03,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_parasanguinis,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus," 1,957,284 ",90.28,95.91,0.03,78.71,83.69,94.39,0.04
MAG-GUT47072,93.90,21673_4_22,201," 2,827,949 ",77.72,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,732,281 ",79.79,97.83,0.03,81.78,64.89,89.46,0.09
MAG-GUT470,100.00,GCF_001025175,476," 2,269,415 ",83.77,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium," 2,305,738 ",82.22,98.29,0.02,42.94,52.81,90.19,0.11
MAG-GUT47106,98.80,GCF_900095855,548," 1,715,864 ",93.78,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Megasphaera,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera," 1,704,323 ",93.71,98.75,0.01,2.35,4.01,83.41,0.23
MAG-GUT47124,96.28,21673_4_22,201," 2,827,949 ",73.91,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,371,688 ",87.75,97.83,0.03,81.78,64.89,89.46,0.09
MAG-GUT47144,93.77,UMGS39,1871," 2,822,385 ",86.68,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium," 2,567,341 ",95.07,99.04,0.01,4.24,4.36,87.15,0.21
MAG-GUT47176,92.28,UMGS65,2140," 1,783,290 ",86.51,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum," 1,655,043 ",92.87,99.13,0.01,4.24,4.01,82.96,0.26
MAG-GUT47179,96.70,GCF_000159455,292," 2,316,838 ",70.53,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae_2;g__Lactobacillus_2;s__Lactobacillus_reuteri,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus," 1,779,586 ",85.66,96.04,0.04,9.56,9.49,86.17,0.18
MAG-GUT47180,96.84,UMGS12,867," 2,229,238 ",87.31,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella," 2,164,820 ",90.13,98.75,0.01,89.95,53.27,92.01,0.08
MAG-GUT47186,97.60,GCF_000163735,310," 2,174,425 ",85.29,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__Veillonella_parvula,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 1,997,402 ",92.81,96.93,0.02,72.47,53.88,88.75,0.10
MAG-GUT471,100.00,GCF_001025175,476," 2,269,415 ",83.87,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium," 2,326,913 ",81.68,98.29,0.02,42.94,52.81,90.19,0.11
MAG-GUT47205,90.57,21673_4_5,211," 3,315,322 ",80.87,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2;g__Barnesiella,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Barnesiella," 2,847,405 ",94.08,98.51,0.02,2.95,3.53,96.98,0.17
MAG-GUT47222,100.00,GCF_000163735,310," 2,174,425 ",85.06,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 2,088,222 ",88.50,97.06,0.02,72.47,53.88,88.75,0.10
MAG-GUT47256,98.62,14207_7_9,112," 3,035,220 ",80.84,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae_2;g__Lachnospira,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira," 2,622,548 ",93.51,99.16,0.01,26.84,26.34,89.17,0.14
MAG-GUT4726,95.96,UMGS197,1572," 2,217,762 ",91.18,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,286,963 ",88.25,98.66,0.02,71.85,77.75,89.24,0.09
MAG-GUT47330,91.95,GCF_000172135,317," 2,642,081 ",71.67,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_dentium,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium," 1,995,950 ",94.93,99.32,0.01,32.98,27.81,86.24,0.15
MAG-GUT47410,97.27,UMGS185,1450," 2,201,228 ",90.51,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,052,750 ",96.90,97.76,0.02,77.63,78.57,88.77,0.09
MAG-GUT47464,98.62,GCF_001025175,476," 2,269,415 ",86.41,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium," 2,140,526 ",91.67,98.86,0.01,42.94,52.81,90.19,0.11
MAG-GUT47531,99.50,20298_3_11,158," 2,754,334 ",90.14,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecalis,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus," 2,759,349 ",89.63,99.09,0.01,2.77,2.91,85.76,0.23
MAG-GUT47559,100.00,18391_1_11,129," 1,948,071 ",87.24,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus," 1,759,276 ",95.82,99.50,0.01,78.01,77.56,94.02,0.05
MAG-GUT47585,93.45,18391_1_7,130," 2,151,775 ",81.97,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium," 1,987,908 ",88.62,98.57,0.02,45.18,42.83,87.81,0.13
MAG-GUT47603,96.42,UMGS175,1350," 1,844,871 ",94.80,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerotruncus," 1,840,583 ",95.10,98.71,0.01,76.96,73.37,88.66,0.08
MAG-GUT4760,92.17,UMGS631,2109," 1,727,321 ",87.28,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium," 1,576,953 ",95.38,99.21,0.01,34.68,37.48,85.39,0.16
MAG-GUT47622,100.00,GCF_000163735,310," 2,174,425 ",87.00,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__Veillonella_parvula,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 2,024,296 ",93.52,96.62,0.03,72.47,53.88,88.75,0.10
MAG-GUT47637,99.67,20298_3_3,178," 2,560,878 ",89.18,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_epidermidis,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus," 2,397,702 ",95.12,99.48,0.01,5.92,6.80,83.75,0.23
MAG-GUT47676,98.20,GCF_000163735,310," 2,174,425 ",81.68,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__Veillonella_parvula,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 2,015,267 ",88.14,96.26,0.03,72.47,53.88,88.75,0.10
MAG-GUT47723,99.81,20298_3_3,178," 2,560,878 ",89.24,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_epidermidis,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus," 2,365,396 ",96.49,99.44,0.01,5.92,6.80,83.75,0.23
MAG-GUT47777,90.72,18391_1_7,130," 2,151,775 ",80.75,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium," 1,961,153 ",88.53,98.32,0.02,45.18,42.83,87.81,0.13
MAG-GUT47782,99.81,20298_3_3,178," 2,560,878 ",89.88,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_epidermidis,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus," 2,426,540 ",94.70,99.36,0.01,5.92,6.80,83.75,0.23
MAG-GUT47800,94.96,21673_4_5,211," 3,315,322 ",91.39,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2;g__Barnesiella,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Barnesiella," 3,063,800 ",98.42,99.44,0.01,2.95,3.53,96.98,0.17
MAG-GUT47808,98.63,21673_4_22,201," 2,827,949 ",81.65,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,794,525 ",81.96,97.81,0.03,81.78,64.89,89.46,0.09
MAG-GUT47840,97.55,GCF_001457835,509," 1,739,382 ",80.73,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Family_XI._Incertae_Sedis,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XI,Unassigned," 1,545,643 ",90.11,95.92,0.03,87.14,79.05,94.96,0.04
